"GEOID","NAME","year","Estimate!!Total","Estimate!!Total!!Male","Estimate!!Total!!Male!!Under 5 years","Estimate!!Total!!Male!!5 to 9 years","Estimate!!Total!!Male!!10 to 14 years","Estimate!!Total!!Male!!15 to 17 years","Estimate!!Total!!Male!!18 and 19 years","Estimate!!Total!!Male!!20 years","Estimate!!Total!!Male!!21 years","Estimate!!Total!!Male!!22 to 24 years","Estimate!!Total!!Male!!25 to 29 years","Estimate!!Total!!Male!!30 to 34 years","Estimate!!Total!!Male!!35 to 39 years","Estimate!!Total!!Male!!40 to 44 years","Estimate!!Total!!Male!!45 to 49 years","Estimate!!Total!!Male!!50 to 54 years","Estimate!!Total!!Male!!55 to 59 years","Estimate!!Total!!Male!!60 and 61 years","Estimate!!Total!!Male!!62 to 64 years","Estimate!!Total!!Male!!65 and 66 years","Estimate!!Total!!Male!!67 to 69 years","Estimate!!Total!!Male!!70 to 74 years","Estimate!!Total!!Male!!75 to 79 years","Estimate!!Total!!Male!!80 to 84 years","Estimate!!Total!!Male!!85 years and over","Estimate!!Total!!Female","Estimate!!Total!!Female!!Under 5 years","Estimate!!Total!!Female!!5 to 9 years","Estimate!!Total!!Female!!10 to 14 years","Estimate!!Total!!Female!!15 to 17 years","Estimate!!Total!!Female!!18 and 19 years","Estimate!!Total!!Female!!20 years","Estimate!!Total!!Female!!21 years","Estimate!!Total!!Female!!22 to 24 years","Estimate!!Total!!Female!!25 to 29 years","Estimate!!Total!!Female!!30 to 34 years","Estimate!!Total!!Female!!35 to 39 years","Estimate!!Total!!Female!!40 to 44 years","Estimate!!Total!!Female!!45 to 49 years","Estimate!!Total!!Female!!50 to 54 years","Estimate!!Total!!Female!!55 to 59 years","Estimate!!Total!!Female!!60 and 61 years","Estimate!!Total!!Female!!62 to 64 years","Estimate!!Total!!Female!!65 and 66 years","Estimate!!Total!!Female!!67 to 69 years","Estimate!!Total!!Female!!70 to 74 years","Estimate!!Total!!Female!!75 to 79 years","Estimate!!Total!!Female!!80 to 84 years","Estimate!!Total!!Female!!85 years and over","Estimate!!Total:","Estimate!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 5 years","Estimate!!Total:!!Male:!!5 to 9 years","Estimate!!Total:!!Male:!!10 to 14 years","Estimate!!Total:!!Male:!!15 to 17 years","Estimate!!Total:!!Male:!!18 and 19 years","Estimate!!Total:!!Male:!!20 years","Estimate!!Total:!!Male:!!21 years","Estimate!!Total:!!Male:!!22 to 24 years","Estimate!!Total:!!Male:!!25 to 29 years","Estimate!!Total:!!Male:!!30 to 34 years","Estimate!!Total:!!Male:!!35 to 39 years","Estimate!!Total:!!Male:!!40 to 44 years","Estimate!!Total:!!Male:!!45 to 49 years","Estimate!!Total:!!Male:!!50 to 54 years","Estimate!!Total:!!Male:!!55 to 59 years","Estimate!!Total:!!Male:!!60 and 61 years","Estimate!!Total:!!Male:!!62 to 64 years","Estimate!!Total:!!Male:!!65 and 66 years","Estimate!!Total:!!Male:!!67 to 69 years","Estimate!!Total:!!Male:!!70 to 74 years","Estimate!!Total:!!Male:!!75 to 79 years","Estimate!!Total:!!Male:!!80 to 84 years","Estimate!!Total:!!Male:!!85 years and over","Estimate!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 5 years","Estimate!!Total:!!Female:!!5 to 9 years","Estimate!!Total:!!Female:!!10 to 14 years","Estimate!!Total:!!Female:!!15 to 17 years","Estimate!!Total:!!Female:!!18 and 19 years","Estimate!!Total:!!Female:!!20 years","Estimate!!Total:!!Female:!!21 years","Estimate!!Total:!!Female:!!22 to 24 years","Estimate!!Total:!!Female:!!25 to 29 years","Estimate!!Total:!!Female:!!30 to 34 years","Estimate!!Total:!!Female:!!35 to 39 years","Estimate!!Total:!!Female:!!40 to 44 years","Estimate!!Total:!!Female:!!45 to 49 years","Estimate!!Total:!!Female:!!50 to 54 years","Estimate!!Total:!!Female:!!55 to 59 years","Estimate!!Total:!!Female:!!60 and 61 years","Estimate!!Total:!!Female:!!62 to 64 years","Estimate!!Total:!!Female:!!65 and 66 years","Estimate!!Total:!!Female:!!67 to 69 years","Estimate!!Total:!!Female:!!70 to 74 years","Estimate!!Total:!!Female:!!75 to 79 years","Estimate!!Total:!!Female:!!80 to 84 years","Estimate!!Total:!!Female:!!85 years and over"
"36","New York",2012,19570261,9485872,596179,582719,613516,385382,283380,154873,146535,428224,706373,658272,601251,644524,684615,694709,616823,228256,304571,176470,211274,282658,204771,148981,131516,10084389,568143,561203,585532,368336,277027,152003,143626,413822,714696,675733,618767,672713,720928,739803,673078,243673,351515,211951,249734,352321,267092,236155,286538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","North Carolina",2012,9752073,4751047,311223,330377,331930,192756,147214,75428,75942,202153,313340,309178,310066,343646,334528,328393,301765,107942,155679,94279,120416,147647,100594,68425,48126,5001026,300529,320927,316712,179548,140497,73703,72839,190412,310007,319618,323886,352873,348835,352267,332620,123158,175382,110653,131891,179158,136137,100884,108490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","North Dakota",2012,699628,357591,23702,23669,19240,13072,13589,7509,6391,19924,26975,25052,20697,20331,21749,25980,23350,9327,12636,5276,7985,11258,7689,6351,5839,342037,21418,21307,20455,11235,11066,6855,6246,16046,24518,22207,18214,18342,20576,24361,22790,8485,11352,6295,8033,11790,10045,10118,10283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Ohio",2012,11544225,5642634,353140,380787,386170,241052,167583,85500,84243,226413,359085,353959,330244,380101,392166,428641,397108,146038,198024,116495,137661,178368,128956,92462,78438,5901591,336915,354226,381159,226476,157863,82061,87643,222278,357659,359498,332900,385854,403749,446766,419383,154280,217693,125717,151901,218444,169333,143088,166705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Oklahoma",2012,3814820,1889807,133075,136772,133566,76295,56874,29758,32224,82526,133944,130021,116912,120010,119086,130012,121844,40263,60461,35121,44394,63037,43397,27546,22669,1925013,129086,128550,127171,71769,53501,28146,29589,78462,128932,123955,115407,115079,121665,135779,127525,46834,63720,39105,51209,70808,53226,41793,43702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Oregon",2012,3899353,1932789,119963,127907,120893,75432,53519,29184,27033,77253,131400,139051,124134,131923,123943,132527,134831,52681,69803,41918,51660,64310,43716,30964,28744,1966564,112150,114963,118242,71196,47023,27461,27664,77698,128678,133828,120634,128519,126866,138523,141020,53199,78519,44610,53928,73628,51616,42584,54015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pennsylvania",2012,12763536,6229333,367124,381299,399086,253402,189524,97943,99942,254408,408188,385009,352228,419566,443132,479856,456109,160033,215274,131345,156385,204338,151853,120362,102927,6534203,351192,367523,377532,240296,190691,99302,94548,243407,397935,380905,365406,417770,457524,495505,472037,169136,238774,144805,176922,248722,201790,185441,217040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Rhode Island",2012,1050292,506835,28818,29140,32446,20480,17792,10281,8981,23243,33796,30239,30499,33096,36787,39564,36174,12496,16762,11131,11622,15098,10918,8946,8526,543457,27329,26973,32817,18959,18864,9428,10421,22049,32400,32466,30385,35855,39243,42188,37088,14746,19662,11330,12602,20066,15235,13896,19455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","South Carolina",2012,4723723,2295781,151895,159363,151203,89503,75822,42810,40694,93510,149403,143687,139177,157197,155357,157454,148914,53590,83365,51483,60462,82269,53041,33114,22468,2427942,142642,147773,152795,85802,68806,38254,35710,95525,152092,153943,144817,159388,166249,168597,170501,61275,91834,57106,75045,91688,68636,48202,51262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","South Dakota",2012,833354,417803,29644,28574,29466,16627,12880,6485,6821,17634,28485,29012,24338,23934,26007,29661,29835,11036,13268,8400,8001,13685,9016,8332,6662,415551,29039,30190,24426,16256,13779,5766,6100,15375,27394,25739,22316,23294,25720,29751,28556,10805,14049,7540,8554,15443,10969,11080,13410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","Tennessee",2012,6456243,3144756,203801,213254,215096,130443,88477,51395,44555,129822,211551,206272,206030,216294,216468,221696,205140,77633,107018,66027,83549,101909,69677,46699,31950,3311487,196222,204091,207377,123933,84936,48331,46221,131816,210610,215016,205329,221034,227266,236513,226866,84792,120224,72224,91816,121293,93662,73040,68875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Texas",2012,26059203,12945218,985806,1000422,1005935,575339,391694,217442,213456,568091,961511,939879,885805,891743,854821,850972,733883,262610,355620,211718,253657,306033,218850,148497,111434,13113985,947042,962135,955210,549286,372597,199744,184543,540082,924396,925729,885418,896124,865608,870635,781197,267325,399381,222505,289872,361170,281590,213935,218461,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Vermont",2012,626011,309184,16283,16964,19223,11685,10877,6229,4767,12597,18256,16928,17200,19279,22091,25527,25725,8281,12919,7645,8523,11104,7339,4992,4750,316827,14728,15940,17662,11404,11385,4122,6259,10938,17665,17451,15126,21819,23269,26817,25466,9672,12968,7370,8963,12349,8791,7925,8738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Utah",2012,2855287,1435028,132481,128285,126174,68160,44467,20720,23336,75973,110949,115308,97458,85213,76851,77175,72925,22271,32998,17109,25440,30950,22280,16099,12406,1420259,125448,124265,117765,64610,45112,25344,24603,67209,108412,110445,95413,78690,76282,77044,73886,25299,32834,20512,26227,34230,25942,21579,19108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Virginia",2012,8185867,4015045,256456,268185,263164,157048,125452,64960,67540,166614,291796,281999,260976,284444,292324,292612,253022,96467,130458,76144,95980,116469,80731,51298,40906,4170822,250615,248048,256832,154284,117458,59925,61908,162612,283874,280943,272983,285198,305351,306238,278750,101763,143435,81175,103165,145221,102271,79301,89472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Washington",2012,6897012,3441429,226381,222732,229458,134936,94694,50186,51409,149146,251654,242790,225046,240362,235085,247312,225566,85335,119178,67460,84923,100069,68713,46115,42879,3455583,214592,206463,220655,129812,87226,47378,48527,137558,239281,236881,222085,228045,231478,252724,237985,92939,124495,75699,85200,110527,79242,70615,76176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","West Virginia",2012,1855413,911681,53538,52269,56163,33200,24894,15781,14262,33618,53212,56970,55354,60274,62903,67429,64884,29776,38965,20662,26039,38083,24786,17466,11153,943732,51725,53452,52654,31219,22658,15049,13478,35252,52091,55778,54545,60794,62380,70842,72100,29946,36854,26007,26293,38716,31271,23828,26800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Wisconsin",2012,5726398,2842737,179576,186241,192451,117112,84078,42976,38583,115917,185671,188327,168699,184088,205162,220084,200182,71157,99898,54244,65055,90667,63625,47519,41425,2883661,171659,184000,178137,107574,82409,41581,40448,109486,180479,180003,164450,180898,203260,222471,202140,70305,102866,56234,72786,100649,81179,70055,80592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Wyoming",2012,576412,292736,19401,18842,21383,10748,8188,4961,3749,13808,21833,20646,16410,19178,17927,20963,22137,7862,9573,5781,7044,8679,5613,4653,3357,283676,18615,19774,17143,10704,9159,4105,3016,11874,19447,18153,16129,17204,17837,21151,20784,8762,9896,5613,5948,10516,6740,5298,5808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Puerto Rico",2012,3667084,1757273,108250,122716,123441,83047,59087,30186,28553,77792,108161,113251,114797,113428,113761,108650,97901,38759,62623,35782,47832,68681,47027,26109,27439,1909811,101104,109395,123632,77776,57712,27114,31440,73702,113582,121670,123844,124170,130424,126232,118394,47898,72558,43535,59510,81551,59255,41120,44193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Mississippi",2013,2991207,1451232,98164,110492,102797,65152,52987,26416,20555,61438,93099,93222,86716,97047,92043,97076,94155,34283,49258,31103,35197,43611,30951,20226,15244,1539975,99718,101996,102486,56335,47352,24477,25795,63993,89508,99749,94519,102810,95445,104746,103521,35495,53997,34459,40177,55956,43893,31906,31642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Missouri",2013,6044171,2960402,193237,196749,204195,121004,81484,47241,44488,127980,200240,199148,179832,179429,192390,221006,197173,79747,98238,65348,72396,99191,71715,47479,40692,3083769,180996,194434,194075,114385,82293,43500,46968,123859,199213,197933,178870,185721,198029,227811,215856,77909,110380,67484,82158,121226,89183,71408,80078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Montana",2013,1015165,507018,30671,32593,30819,19268,14943,8118,9382,19459,32838,32146,30051,28282,30033,36469,39176,14425,20827,13738,14464,19318,13305,9485,7208,508147,30472,31936,29485,18852,14499,7897,8055,19547,30393,31140,28832,27662,30159,37455,40460,15626,18115,14170,14372,18574,14899,11564,13983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Nebraska",2013,1868516,925274,64596,68579,63386,37827,28044,14031,15287,38591,63897,65374,55848,57608,57469,65619,59099,23978,29862,19067,21935,24764,20228,17812,12373,943242,64234,65972,62830,36328,28055,14335,13476,37737,60200,61278,54478,56627,56076,66196,62087,23850,31034,21309,21486,30196,25928,21662,27868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Nevada",2013,2790136,1403068,90529,95045,95144,56249,34915,19035,20799,57869,100785,103511,95039,97334,97801,95618,87588,32444,44435,30251,36832,47915,30808,19085,14037,1387068,86758,97978,85099,54845,32619,17734,18943,53691,96405,97166,91110,95787,92030,92741,89841,32125,50292,31897,41278,48715,32907,20765,26342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","New Hampshire",2013,1323459,652662,32816,38945,39116,26364,19770,8885,9772,25925,38689,37202,35993,44538,51885,55449,51244,19014,26164,16884,15085,24130,15039,11193,8560,670797,32991,37366,38504,25073,19722,7704,10466,25472,37348,36843,38868,42970,51783,56791,52701,19436,24690,17484,18945,24357,19984,13915,17384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","New Jersey",2013,8899339,4343749,270410,281186,300103,182425,117980,60088,55975,175603,288387,284928,276684,306656,323823,336607,300930,103721,134603,90118,97138,134587,88643,70580,62574,4555590,260771,269702,284264,173036,106371,54903,55002,164815,278090,288299,283385,317178,341873,350286,319659,107868,159321,106184,110308,164725,122374,104503,132673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","New Mexico",2013,2085287,1034144,70740,73767,72733,41223,34486,17344,16370,43637,70089,68903,62712,62204,62660,68456,67019,26150,34815,22733,25396,37915,25356,17655,11781,1051143,67656,68697,71163,42105,28901,14596,17600,42423,65371,65838,61405,62696,63596,73287,72468,28345,38675,24566,29188,40071,29514,19961,23021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","New York",2013,19651127,9536179,599290,588175,605646,377213,276822,150463,146978,431997,720116,669348,609152,627805,671256,697825,632137,229549,308636,194017,211553,293653,203859,151887,138802,10114948,571135,564040,575068,358695,274607,148812,143713,419163,720715,685816,618956,661449,706387,741951,690840,252009,345520,230568,258789,353019,277607,229787,286302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","North Carolina",2013,9848060,4795976,307346,333306,331882,194689,143931,82694,84201,207826,310318,314029,318057,328926,326302,330201,307022,112084,154697,105454,122549,156163,103966,69783,50550,5052084,300136,324258,312508,180043,133866,73189,71018,199057,319014,326152,315559,357675,343927,353184,342691,124614,178940,122790,137683,181418,137603,103281,113478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","North Dakota",2013,723393,369155,24312,21628,23705,12555,11688,9178,7843,22310,29110,26622,23093,19803,20149,24993,25976,9536,10976,7181,7509,10598,9053,5904,5433,354238,23163,22322,20784,12224,11901,5981,5862,20122,23844,22086,19251,19160,20457,25393,25218,8921,10677,7130,7740,11157,10310,8562,11973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Ohio",2013,11570808,5658223,354606,376008,387221,237044,165224,87860,79592,234159,365968,355365,334010,369246,383170,420044,407220,151492,195422,127803,136015,186093,129007,92412,83242,5912585,337057,358242,371321,227287,156929,87707,76618,228679,364358,360539,330841,382372,393191,437734,433723,156462,212134,143111,151688,223326,169258,140846,169162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Oklahoma",2013,3850568,1906922,133409,140885,134728,77601,58310,31736,29951,85013,131000,131157,114310,123380,115591,129982,124182,43860,58904,38901,44585,62733,45032,29439,22233,1943646,129278,131119,127649,73163,54534,28767,28729,79259,130010,130445,113315,121591,116271,132138,131837,45436,65101,43629,50479,73327,54023,40299,43247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Oregon",2013,3930065,1946196,118455,123460,122728,77615,53379,26566,26858,79200,133697,136877,125723,135574,121497,130744,131024,56233,72598,48196,49004,71105,45148,31685,28830,1983869,109948,119293,117022,71007,48979,27678,28529,75305,127667,136609,124031,129638,123297,137195,143316,55235,78492,47373,58165,77915,54230,40198,52747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Pennsylvania",2013,12773801,6243308,364579,387728,389720,247755,186625,98767,95275,250987,417131,388829,363304,404951,434048,471512,458131,170924,217364,144856,155017,216691,161544,113297,104273,6530493,349989,368561,373519,234402,184902,94789,91087,245606,407847,386522,366983,401253,444809,490280,474700,175413,245537,163236,174852,254782,211473,174668,215283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Rhode Island",2013,1051511,512999,27867,30464,31879,20658,16754,8930,7453,25964,36265,32087,30923,31845,36689,38463,35428,13373,19062,12299,11541,16549,9868,9326,9312,538512,26334,26684,31091,17870,18589,9149,8755,23114,33697,32827,29735,34480,38651,41271,39784,13792,18720,12922,13673,19188,14314,11965,21907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","South Carolina",2013,4774839,2321179,149540,159677,149439,90239,75146,37767,36187,105490,154510,145518,137765,153657,152812,163272,154127,57561,79472,54804,65939,84500,54066,35089,24602,2453660,144103,154638,144694,86990,70865,35658,35859,99731,152360,155456,147533,155900,163524,171535,167945,66094,94668,63164,70204,100482,69565,50500,52192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","South Dakota",2013,844877,424160,30382,31109,29600,15959,12848,6251,7679,18562,28988,27623,26038,24117,25082,29469,27563,11572,15552,9363,8334,13940,9763,7809,6557,420717,28235,30673,26067,16456,11319,5928,6357,16493,26783,27323,25003,21602,24945,29781,28950,12143,13922,9204,9272,14553,12252,10922,12534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
